date,Air Temp ˚F,Dew Point ˚F,Precipitation (inches),Relative Humidity (%),Wind Speed (mph),Wind Direction (degrees)
12/31/2016 00:00,33,19,0,56,10.4,280
12/31/2016 01:00,33,18,0,53,3.5,-1
12/31/2016 02:00,33,17,0,51,9.2,270
12/31/2016 03:00,32,17,0,54,5.8,-1
12/31/2016 04:00,32,17,0,54,9.2,230
12/31/2016 05:00,32,18,0,56,8.1,250
12/31/2016 06:00,32,17,0,54,6.9,-1
12/31/2016 07:00,32,16,0,51,11.5,250
12/31/2016 08:00,32,16,0,51,6.9,250
12/31/2016 09:00,34,18,0,51,5.8,-1
12/31/2016 10:00,35,18,0,49,4.6,250
12/31/2016 11:00,37,19,0,48,6.4,242
12/31/2016 12:00,39,20,0,46,8.1,190
12/31/2016 13:00,42,20,0,41,6.9,-1
12/31/2016 14:00,42,18,0,37,3.5,-1
12/31/2016 15:00,43,17,0,35,5,44
12/31/2016 16:00,43,23,0,45,7.7,135
12/31/2016 17:00,43,25,0,49,9.2,210
12/31/2016 18:00,43,26,0,51,8.5,241
12/31/2016 19:00,43,26,0,51,6.9,250
12/31/2016 20:00,43,24,0,47,4.6,-1
12/31/2016 21:00,43,24,0,47,8.1,240
12/31/2016 22:00,43,23,0,45,5.8,-1
12/31/2016 23:00,44,23,0,43,9.2,240
01/01/2017 00:00,44,24,0,45,4.6,-1
01/01/2017 01:00,44,25,0,47,3.5,-1
01/01/2017 02:00,44,26,0,49,4.6,260
01/01/2017 03:00,45,25,0,45,8,255
01/01/2017 04:00,44,25,0,47,10.4,250
01/01/2017 05:00,45,24,0,43,6.9,250
01/01/2017 06:00,44,25,0,47,3.5,-1
01/01/2017 07:00,44,25,0,47,5.8,130
01/01/2017 08:00,44,26,0,49,8.1,260
01/01/2017 09:00,44,26,0,49,5.8,-1
01/01/2017 10:00,46,28,0,49,9.2,300
01/01/2017 11:00,45,23,0,42,11.5,310
01/01/2017 12:00,46,23,0,40,9.7,229
01/01/2017 13:00,47,22,0,37,6.4,80
01/01/2017 14:00,47,20,0,34,4.6,-1
01/01/2017 15:00,47,18,0,31,4.6,-1
01/01/2017 16:00,47,18,0,31,5.8,260
01/01/2017 17:00,46,17,0,31,0,0
01/01/2017 18:00,45,16,0,31,0,0
01/01/2017 19:00,43,19,0,38,3.5,60
